taxonName,chi2,pValue,urbanCount,nonUrbanCount
Anas zonorhyncha,126.84733175627795,2.0062844854182454e-29,69,56
Dicrurus macrocercus,125.58541218710444,3.7892461982611524e-29,93,104
Pycnonotus barbatus,125.3174697429724,4.337030332264421e-29,74,66
Melanerpes chrysogenys,123.10489746857844,1.322679582654779e-28,94,108
Machetornis rixosa,123.09557295553111,1.3289101952463165e-28,113,151
Tachymarptis melba,122.37381824621654,1.9119636457930984e-28,62,46
Haemorhous purpureus,121.85697506166012,2.4809344517117207e-28,22,817
Antigone canadensis,121.47627329525092,3.0057465587619146e-28,12,721
Anthracothorax nigricollis,121.16175888005851,3.52210518591293e-28,44,19
Anthochaera carunculata,120.618478599435,4.631636656846345e-28,176,318
Grallina cyanoleuca,120.23556282116434,5.617757940143502e-28,154,258
Glaucidium brasilianum,120.05708944160858,6.146606776597377e-28,83,87
Cyanopica cyanus,115.62090765724484,5.754168008314193e-27,49,28
Lanius cristatus,113.4113572863876,1.7534768729298053e-26,91,109
Cacatua sulphurea,112.5730800308248,2.676167579742959e-26,32,7
Histrionicus histrionicus,111.15888383766841,5.461353283992259e-26,2,570
Columba guinea,110.67933303858412,6.955942991401194e-26,40,17
Sayornis phoebe,110.27869983949684,8.513854149809564e-26,96,1356
Gallus gallus domesticus,109.70148395698095,1.1391653642246638e-25,106,147
Parus major,109.49983906819335,1.2611476518023803e-25,365,945
Gorsachius melanolophus,109.18533593044582,1.4779953675258888e-25,48,29
Spizella pusilla,108.93401215895288,1.6777952543666885e-25,9,630
Pandion haliaetus,108.27258369632571,2.3424240753025496e-25,283,2624
Acridotheres fuscus,107.26746329156678,3.8896805867189774e-25,56,43
Halcyon smyrnensis,107.09658880512816,4.239931802298638e-25,107,152
Fluvicola nengeta,106.33367599027561,6.2308582431744095e-25,58,47
Larus brachyrhynchus,105.53580917567653,9.319839349026724e-25,20,717
Uria aalge,105.22057515454472,1.0926936751276194e-24,2,541
Icterus pectoralis,104.45026011413174,1.6118948421463542e-24,37,15
Cinnyris asiaticus,103.07481082198939,3.2272843289812404e-24,64,60
Melanitta deglandi,102.47856445825325,4.360605898882222e-24,3,538
Dryocopus pileatus,102.1947614652116,5.032280516638317e-24,32,806
Spodiopsar cineraceus,101.92605370420553,5.7633502369944174e-24,51,37
Megaceryle alcyon,101.91621840202174,5.792036409354787e-24,100,1337
Streptopelia semitorquata,101.82410264822698,6.067735502962944e-24,61,55
Calidris alpina,101.01655980627949,9.121763801230559e-24,34,817
Anas crecca,99.99325896329862,1.5291664008163383e-23,149,1674
Troglodytes musculus,99.85023114186318,1.6436817644517893e-23,140,247
Pipilo maculatus,97.44406053692924,5.539946450621836e-23,156,1706
Pygochelidon cyanoleuca,96.88008112094995,7.365595718717899e-23,84,107
Turdus ignobilis,96.53249619542524,8.779102081995843e-23,130,224
Zenaida meloda,96.07750646695858,1.1047283345347347e-22,47,33
Passer domesticus domesticus,95.90764504345661,1.2036966793439439e-22,71,79
Arenaria melanocephala,95.47688746870054,1.4962802069185016e-22,8,554
Psilopogon haemacephalus,95.44013169085618,1.5243205046256608e-22,45,30
Centropus sinensis,95.38625055729797,1.5663781339817064e-22,48,35
Sturnus vulgaris vulgaris,95.24819311513201,1.6795140566146693e-22,60,57
Brotogeris chiriri,95.15065203660822,1.7643407364269123e-22,37,18
Corvus splendens,95.14432455890314,1.7699891650215274e-22,62,61
Aythya affinis,95.1379071280501,1.7757363678874378e-22,81,1157
Haematopus bachmani,94.7262041830876,2.186258484524554e-22,15,617
Psittacara mitratus,94.6362890095533,2.2878545664100446e-22,29,8
Ortalis leucogastra,94.1847223689292,2.874104560876803e-22,28,7
Corvus cornix cornix,94.1847223689292,2.874104560876803e-22,28,7
Fulica armillata,94.057674009155,3.0646293538390714e-22,68,74
Morus bassanus,94.04141360018107,3.0899086778127055e-22,4,507
Prinia flaviventris,94.0198666938788,3.1237282699262175e-22,44,29
Bostrychia hagedash hagedash,93.92661156515496,3.274420647556804e-22,67,72
Cepphus columba,93.85648731248232,3.3925062301238546e-22,1,475
Sturnia malabarica,93.60077001729385,3.860373989341334e-22,42,26
Corvus macrorhynchos,93.5570060338004,3.9466816763307534e-22,81,103
Lophodytes cucullatus,93.08469684813811,5.010365019897043e-22,135,1533
Threskiornis molucca,92.82428493462274,5.714957400959863e-22,189,403
Alcedo atthis,92.41266563229857,7.036233684481645e-22,133,238
Vanellus chilensis,91.86366880352595,9.285826924929795e-22,198,433
Passerella iliaca,91.62105759910557,1.0497002360419842e-21,40,818
Somateria mollissima,90.6564579570533,1.709132963554875e-21,9,540
Urocissa erythroryncha,90.03096669245804,2.3446142072225515e-21,51,43
Sturnella neglecta,89.56036374459171,2.974236609852624e-21,24,672
Ardea coromanda,89.44680857253297,3.1499478872353267e-21,142,268
Anas diazi,89.44012127411621,3.1606134810423943e-21,82,109
Gymnorhina tibicen tyrannica,88.87652197559025,4.202414539681726e-21,42,28
Baeolophus bicolor,88.86268417220688,4.231913884832839e-21,90,1187
Ducula spilorrhoa,88.74357812568991,4.494541544629462e-21,34,16
Mimus polyglottos,88.32620827651184,5.550318006893687e-21,673,2180
Pyrocephalus rubinus,88.1550189435523,6.052062187949757e-21,309,813
Charadrius vociferus,87.9327515132194,6.771806377694087e-21,219,2062
Thalasseus maximus,87.70735575350473,7.589163287829946e-21,65,994
Pluvialis squatarola,87.44709142017194,8.656472294536047e-21,57,931
Chroicocephalus philadelphia,86.69821529075841,1.264108380761396e-20,7,501
Charadrius semipalmatus,86.64135923822356,1.3009774940740023e-20,46,840
Aix galericulata,86.08172143095807,1.726513184985859e-20,53,49
Pycnonotus sinensis formosae,86.04160920204748,1.761891428252981e-20,40,26
Turdus leucomelas,85.92828824135692,1.8658054573951688e-20,59,61
Bubo virginianus nacurutu,85.7641016338654,2.027333425013452e-20,20,1
Ardea cinerea jouyi,84.50751843842927,3.8275654976901294e-20,30,12
Turdus pelios,84.48041214793625,3.8804026340160204e-20,22,3
Saucerottia beryllina,84.06024090083147,4.799259384431966e-20,65,75
Geopelia striata,83.9429177939975,5.092688011511838e-20,99,157
Ardea cinerea,83.61857421684489,6.000660689518031e-20,329,898
Urile pelagicus,83.55365784618958,6.200979750056648e-20,11,524
Celeus flavescens,83.48953055719444,6.405430578540362e-20,32,15
Icterus pustulatus,83.32841043255864,6.949364270062761e-20,80,110
Fulica leucoptera,83.02071734432988,8.119790837297427e-20,59,63
Zosterops virens capensis,82.97540216084141,8.308081887008758e-20,41,29
Acridotheres leucocephalus,80.91284934587527,2.358948276870049e-19,19,1
Gallinula tenebrosa,80.88623339198757,2.390935029699878e-19,141,279
Corvus albus,80.60155056034927,2.7614271353104307e-19,85,125
Dinopium benghalense,80.34482825904536,3.1445364082783728e-19,34,19
Eremophila alpestris,79.90996381470322,3.918654787553119e-19,18,570
Pooecetes gramineus,79.3304369071456,5.254396024744309e-19,5,445
Tringa melanoleuca,77.73862951264809,1.1761841097167914e-18,111,1269
Falco sparverius,77.49113847560648,1.3331927154860928e-18,240,2120
Aythya fuligula,77.02612396792347,1.6871151135944245e-18,150,313
Melospiza georgiana,76.61782760772002,2.0745838391389977e-18,20,571
Psittacula eupatria,76.04825083233777,2.7681741245408307e-18,28,12
Phasianus colchicus,75.88099939347049,3.012852401166596e-18,9,467
Aythya marila,75.87815727571079,3.0171919905438023e-18,40,734
Eupetomena macroura,75.75047398945281,3.2187382668257093e-18,36,24
Agelaioides badius,74.50088025804257,6.0611236874968745e-18,62,76
Melanerpes erythrocephalus,73.83079771398425,8.510831407084821e-18,5,418
Buteo buteo,73.74534592510285,8.887358195160644e-18,33,666
Tachyspiza badia,73.51240944043245,1.000054509744751e-17,36,25
Turdus falcklandii,72.54508359995927,1.6325943149622696e-17,54,60
Podiceps grisegena,72.47905554249878,1.6881409648395618e-17,2,381
Leucophaeus atricilla,71.9835536681815,2.1699840653227922e-17,193,1778
Molothrus aeneus,71.06309425262594,3.4598173172392865e-17,87,141
Mareca strepera,71.05690422532722,3.470689266889393e-17,174,1648
Dryobates nuttallii,70.70256874993335,4.15351304736724e-17,148,319
Thryomanes bewickii,70.49113544854714,4.6233933105221355e-17,225,573
Branta bernicla,69.33175905025024,8.321871882790488e-17,22,551
Passerina cyanea,68.64326058041208,1.1798723416228395e-16,36,663
Sialia currucoides,68.06153402418354,1.5847214112249703e-16,1,349
Fulica rufifrons,68.01776821461802,1.620288670662259e-16,39,33
Buteo jamaicensis,67.92545446493142,1.6979499463457003e-16,577,4060
Passerina amoena,67.3032752250269,2.327943363670577e-16,8,415
Dives dives,67.29113797935392,2.3423190847825903e-16,45,45
Turdus chrysolaus,67.20746099587736,2.443874946971254e-16,22,7
Milvus migrans,66.55869118336783,3.396293202944956e-16,204,512
Campylorhynchus humilis,66.0528666490462,4.389889222819308e-16,72,108
Sitta canadensis,65.9518236798505,4.620806778190304e-16,237,628
Dicaeum trochileum,65.780756438566,5.039791945594455e-16,17,2
Patagioenas maculosa,65.4924026526283,5.833842963431216e-16,56,70
Tachycineta thalassina,65.45402823256295,5.948552318093752e-16,16,479
Trichoglossus concinnus,65.08152141885269,7.186279376358377e-16,61,82
Amazona viridigenalis,64.95969962295915,7.644561176116215e-16,37,31
Spinus pinus,63.59995941010062,1.5243231540182911e-15,54,774
Motacilla cinerea,63.574281005263714,1.544323103323137e-15,102,193
Salpinctes obsoletus,63.23929540812098,1.8305979051880074e-15,3,346
Sturnella magna,63.23929540812098,1.8305979051880074e-15,3,346
Paroaria coronata,62.9937024783462,2.0736853619363755e-15,94,171
Nycticorax nycticorax nycticorax,62.80958565199738,2.2768800845329833e-15,21,7
Hypsipetes amaurotis,62.47429485164123,2.699451081147108e-15,24,11
Amphispiza bilineata,62.015066447719384,3.408395219546582e-15,3,340
Chroicocephalus novaehollandiae,61.578143299465886,4.2551593420641276e-15,159,374
Icterus galbula,61.36950601852507,4.7308108903806766e-15,238,646
Saltator grandis,61.1443916975439,5.303864131971663e-15,42,43
Cygnus columbianus,60.995012472427256,5.7219585632385665e-15,3,335
Thectocercus acuticaudatus,60.80554360763048,6.300026370913133e-15,27,16
Turdus olivaceus olivaceus,60.80554360763048,6.300026370913133e-15,27,16
Egretta rufescens,60.456213542402395,7.523350863525967e-15,25,530
Buteo swainsoni,59.864346614959146,1.0162584873336539e-14,13,424
Passer montanus saturatus,59.78223954266548,1.0595521152978514e-14,28,18
Chondestes grammacus,59.6245246939702,1.1479567156932572e-14,36,614
Gavicalis versicolor,59.56973511375746,1.1803650780662966e-14,24,12
Amazilia rutila,59.200397860796315,1.424050440002634e-14,86,154
Fulica cristata,58.382671553788384,2.157832613449289e-14,52,67
Egretta caerulea,58.17469291537209,2.3984469124449995e-14,107,1115
Larus marinus,58.13543816229172,2.4467865877339587e-14,53,735
Pica hudsonia,57.996018124616754,2.626488915085895e-14,16,441
Calidris minutilla,57.983134170264584,2.6437476353340154e-14,159,1456
Trogon citreolus,57.77297688150688,2.9418355399546785e-14,71,115
Calidris pusilla,57.566615233756764,3.267242795748572e-14,5,338
Dendrocitta formosae,57.336565351115,3.6726343311998326e-14,32,26
Diopsittaca nobilis,57.220785203110104,3.895326116013783e-14,22,10
Numida meleagris coronatus,56.739617688535006,4.975106456960941e-14,47,57
Calidris melanotos,56.71783669690248,5.030518201773277e-14,10,381
Ploceus capensis,56.554059887790615,5.467438486273559e-14,76,130
Emberiza citrinella,56.332593989066254,6.119258728351866e-14,2,302
Zosterops japonicus japonicus,56.242606481781934,6.405826138694373e-14,16,3
Otus sunia,56.120831959312895,6.815118088384979e-14,21,9
Calidris mauri,56.07554998409902,6.973900803489021e-14,53,723
Cyanocitta stelleri,56.07225717858792,6.985590476129478e-14,93,1006
Platycercus eximius eximius,55.773857483789136,8.130557328452027e-14,101,203
Lanius ludovicianus,55.74346563807523,8.257227916540267e-14,46,669
Burhinus capensis capensis,55.60952993921514,8.839407166737893e-14,25,15
Hypsipetes amaurotis amaurotis,55.60952993921514,8.839407166737893e-14,25,15
Anser caerulescens,55.49254471447318,9.381413928801959e-14,27,520
